Project,Package,Class,Smell,Description,File
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.JWT,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.Headers,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.ErrorResponse,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.EmailConstant,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.Templates,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.constant,AppConstant.EmailSubjects,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\constant\AppConstant.java
unicarpool-backend,com.asdc.unicarpool.controller,DriverController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\DriverController.java
unicarpool-backend,com.asdc.unicarpool.controller,RiderController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\RiderController.java
unicarpool-backend,com.asdc.unicarpool.service.impl,AuthService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\AuthService.java
unicarpool-backend,com.asdc.unicarpool.service.impl,RideRequestService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideRequestService.java
unicarpool-backend,com.asdc.unicarpool.service.impl,RideService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideService.java
unicarpool-backend,com.asdc.unicarpool.service.service,AuthServiceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\AuthServiceTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RideRequestTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RideRequestTest.java
unicarpool-backend,com.asdc.unicarpool.service.service,RideTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14,D:\Personal\group04\unicarpool-backend\src\test\java\com\asdc\unicarpool\service\service\RideTest.java
